portfolio,a,t(a),beta,t(beta),s,t(s),m,t(m),R2
6_BIG HiPRIOR_RF,-0.07620464613322674,-8.805521910578477,0.010081335485560616,1.292181035692657,3.742273770895865e-05,0.007200651528008478,0.9900508483046734,195.60760245429435,0.9993231884258521
6_ME1 PRIOR2_RF,0.03032252803160526,0.7274672812066532,-0.12992912953511077,-3.4576914182154552,0.921920439210668,36.83020102792039,0.13051555291862535,5.353834043431142,0.9864404159243436
6_ME2 PRIOR2_RF,0.1817084366890997,3.8353663906066093,1.1545926693346118,27.032873131286404,-0.16508163553031688,-5.802205629450629,-0.028594080763678337,-1.0319590977631226,0.9807733255038277
6_SMALL LoPRIOR_RF,-0.5097895383358854,-7.499596041698766,0.6034257072112286,9.846965235841575,1.0866560063965474,26.61960606065577,-0.6198623208452532,-15.591818432714483,0.9779306235895606
25_ME2 PRIOR2_RF,-0.11678895451967389,-1.7079068533166124,0.15881991892827846,2.576315371604182,0.9368209023818503,22.812956355146888,-0.11422266717471924,-2.8560728838557967,0.9697436952081393
25_ME3 PRIOR2_RF,0.0651954783129838,0.9139241111137817,0.5447166410956431,8.470224991754625,0.7059022117201068,16.477821298552453,-0.23164384073052485,-5.552236983121336,0.9684169388177349
6_BIG LoPRIOR_RF,-0.08007163012487434,-0.9573971844898276,2.2860260840971156,30.319797861919227,-0.08154199727583684,-1.623519119758894,-1.0817323166590307,-22.115046593655485,0.9674996759568291
25_ME4 PRIOR2_RF,0.1224543384783979,1.6624424454508797,1.005760111305969,15.14601888083069,0.3445727159944586,7.789613600498607,-0.2881000226207937,-6.687600368872941,0.9670598286231136
25_BIG HiPRIOR_RF,-0.21418427306150464,-3.36559128507602,-0.18276219983059377,-3.1856042114781324,-0.054818942687714145,-1.4343893022776446,1.2505924830876376,33.6003799325767,0.965586089154067
25_ME2 PRIOR3_RF,0.09253252143257987,1.3110135324630268,-0.08343164067058545,-1.311218917359293,0.9219823479259506,21.751938726963967,0.11065347440345225,2.6806024573502016,0.964033745357396
25_ME5 PRIOR2_RF,0.2102289099761307,2.7595154584712733,1.8914197630878191,27.5397478476426,-0.14638725881181877,-3.1996778737710736,-0.7310818087700205,-16.408200295354387,0.9640137235041188
25_ME5 PRIOR3_RF,0.14884366093670232,2.2889062127535795,1.297617050496378,22.134812236338927,-0.24488623302100435,-6.270824006128619,-0.11243012673163923,-2.9562076278599907,0.9633639508968664
6_SMALL HiPRIOR_RF,0.37004827012005126,5.127022337764609,-0.6410103615499372,-9.851526392997664,0.9757145106238263,22.51086492176984,0.6379869231172886,15.113783149881664,0.9612499153036335
25_ME1 PRIOR2_RF,-0.21941116912897812,-3.140056530720126,-0.07750846732922079,-1.230437414837472,1.0025264054863692,23.89115480934749,-0.06863685495442087,-1.6795413049445447,0.9608380463301224
25_ME3 PRIOR3_RF,0.036287374856691784,0.4807782192578552,0.24859170601261205,3.6534865466975788,0.7183932878734733,15.849445992464908,0.015277379436701932,0.346092889678741,0.9602934827866858
25_ME5 PRIOR4_RF,0.11725523179470577,1.7434537253765154,0.6936047150421041,11.439890731451504,-0.2915080047810775,-7.217574363563851,0.5621622825919101,14.292048380346744,0.9579312235811098
25_SMALL LoPRIOR_RF,-0.9991555977916513,-10.180020596338533,0.15201493018426265,1.7180405870968536,1.383806410010763,23.477586845662103,-0.4952697231196548,-8.62803481185092,0.954909355241053
25_ME3 PRIOR1_RF,-0.422014001523185,-3.9377254101390546,1.2247320617321433,12.676264701789291,0.8278809183727369,12.86320016172564,-0.8910080841380246,-14.21525945679646,0.9539821914876526
25_ME1 PRIOR3_RF,0.011747547753190396,0.16193007616734337,-0.2906177812552031,-4.4435915076277235,0.9471001107113888,21.73896059725492,0.1796822706082833,4.234870228576403,0.9527350057730857
25_ME2 PRIOR1_RF,-0.45322106273853846,-4.110515289876107,0.8821096426348667,8.874428545241354,1.1434557347894505,17.269037279695887,-0.9149028637433088,-14.187822568489882,0.951370637800772
25_ME2 PRIOR4_RF,0.22387938940302649,2.760751632785154,-0.43817540027502183,-5.993670446809566,0.9376822522102682,19.254467260459453,0.43449740539688647,9.16125538038356,0.9489816187040676
25_ME4 PRIOR3_RF,0.0766375055311889,0.9386463556828949,0.5519436236651171,7.498717671137525,0.3610773800845421,7.364164944793836,0.05134064193898752,1.0751684475484404,0.9482392074254569
25_ME3 PRIOR4_RF,0.1295907761029204,1.4697724937757364,-0.20572690870401497,-2.5882055802417177,0.7565570232132812,14.28829074307233,0.3973653224270364,7.705850288927552,0.939376416554689
25_ME4 PRIOR5_RF,0.0303083551213168,0.3272935583903561,-0.5231414954861148,-6.266512415032972,0.5380549926839754,9.67529784352351,1.0247897321853017,18.921886558229716,0.9374656147521155
25_ME1 PRIOR4_RF,0.22811073262320147,2.71561101053966,-0.4719710402192098,-6.232593999685824,0.9722088872339096,19.27276452462606,0.33725471645497485,6.864903739554228,0.9363026781467153
25_ME4 PRIOR4_RF,-0.00047711041347862915,-0.005167240077837019,0.052328882529551674,0.6286556877487666,0.47514326032548526,8.568936108516114,0.47721694351874994,8.837108305368432,0.9360313388855492
25_BIG LoPRIOR_RF,-0.16317174177248855,-1.2443955394776747,2.6814903716952956,22.684091082368234,-0.2270443772227713,-2.8832800979306423,-1.2731089253767953,-16.600976606576438,0.9322688271616718
25_ME2 PRIOR5_RF,0.37458964289887614,3.638128231728044,-0.7735882014959148,-8.334196171725386,1.0630948807009708,17.193205372059843,0.7214078373870012,11.980023548384075,0.929837467392816
