portfolio,a,t(a),beta,t(beta),s,t(s),m,t(m),R2
6_SMALL LoPRIOR_RF,-0.00023878896293706708,-0.002158239620068532,0.5590426420483854,33.990370295349834,0.9156300516439442,12.560608448497156,-0.6763663938786779,-16.835388231761918,0.9136361507564016
6_BIG LoPRIOR_RF,0.3354388936007839,2.7351311391638293,0.5490315152573246,30.115325386410195,-0.1363846789366562,-1.6878566170857747,-0.8228669308073291,-18.477790966157045,0.8949845974865903
6_ME2 PRIOR2_RF,0.22663334374785163,2.202007082077226,0.5299419658532456,34.63767763737012,-0.17709621349082083,-2.6116165289960755,-0.09405042742453887,-2.516583715462993,0.8646675113092452
6_ME1 PRIOR2_RF,0.18864782634536012,1.7403365023449744,0.5028416572064398,31.206008426025498,0.7968851983687084,11.157898641785692,-0.12909434441901269,-3.2797772085592602,0.8604989343608516
25_ME2 PRIOR1_RF,0.16286936236831148,0.8456667693091913,0.6559152013897604,22.910423322817962,1.1522692545250965,9.080694625726519,-1.1139520754458756,-15.928764060760006,0.8554786006814157
6_SMALL HiPRIOR_RF,0.3544316523020302,3.0468236427434303,0.5625816695807271,32.533137131859405,0.8766246151335793,11.437568467705432,0.19465502768990756,4.6082512174601975,0.8497234968086012
25_ME3 PRIOR1_RF,0.13760677729506138,0.7006057516396772,0.69794518222922,23.904559037417023,0.8226264302233026,6.356847037487293,-1.033291312675905,-14.488130724901097,0.8493032819446993
25_SMALL LoPRIOR_RF,-0.47713065121537757,-2.4846291693489944,0.6265657707501755,21.94908786121502,1.4677213457853484,11.600403644651957,-0.8144770684349206,-11.680429899711324,0.8312378331178019
25_ME4 PRIOR1_RF,0.3997435416942095,1.9109681591715608,0.6741423656837566,21.67949513117392,0.23464019363811356,1.7024706409479309,-1.0761484575749112,-14.167717410946125,0.8236064686554905
6_BIG HiPRIOR_RF,-0.019231547664182103,-0.1656870453622682,0.5454924877249816,31.614669091112056,-0.09737924242628992,-1.2733445603325841,0.30611164762408466,7.262896848221819,0.8125378703221233
25_ME5 PRIOR2_RF,0.4982247546226231,2.7718500863894335,0.6206985706121861,23.23008131293225,-0.23065398530780148,-1.9476487074541295,-0.6417297785098942,-9.832236856422604,0.8045181528393301
25_ME4 PRIOR2_RF,0.41596536613854296,2.2582631056069338,0.6653685875235407,24.299940456882624,0.31255601257337806,2.575434166523188,-0.4571219358543839,-6.834474583490092,0.7985302402995019
25_BIG LoPRIOR_RF,0.4352420647730527,1.8910303402835258,0.6354261094261164,18.571981372669036,-0.34120526328294143,-2.2500314302633533,-1.2210265106041114,-14.609939976631937,0.795993040258711
25_ME3 PRIOR2_RF,0.38870430474688755,2.1043651519985938,0.6323938177068096,23.03111242100143,0.6970099452128784,5.727247533355832,-0.46435504371121583,-6.9232118553548005,0.7918574039214309
25_ME2 PRIOR4_RF,0.33078182006850904,1.9569063441430288,0.6309662709875468,25.110774121326955,1.0038272888491164,9.013482801825354,0.06970342712889037,1.1356336269083207,0.781623383520584
25_ME3 PRIOR3_RF,0.2629161407381926,1.4631297597400976,0.629645356562766,23.571496111193433,0.7179830720390727,6.064360747276756,-0.24934477375589875,-3.821391808772546,0.7780209109778704
25_ME2 PRIOR2_RF,0.22111626963012737,1.1803076610367225,0.6023382680687066,21.629203739061676,0.937305843216965,7.5938336543002345,-0.42553634323759915,-6.255569992758133,0.7765855627871151
25_SMALL HiPRIOR_RF,0.5953015567595901,3.430140991259945,0.6272608672449493,24.313568002545175,1.1519914625562389,10.074637806264265,0.16932520635017867,2.6869047442719336,0.770548621611472
25_ME1 PRIOR2_RF,0.04450544415041863,0.25754141855393553,0.5312043560115987,20.678599420154548,1.0519104212280057,9.23885028892908,-0.3284745349213153,-5.234694653247585,0.7642050390448423
25_ME5 PRIOR3_RF,0.275373775014526,1.6506102867952779,0.593441224463106,23.929037472939175,-0.31817660385119007,-2.8946458647793425,-0.19162609890420326,-3.1632413631114034,0.7633054879114991
25_ME2 PRIOR5_RF,0.4350979659700603,2.2513344288606025,0.6901573663922431,24.02296653366025,1.158499267611432,9.098167990229133,0.2702809731771473,3.851448874674095,0.7569867331013638
25_ME1 PRIOR4_RF,0.3459267339983516,2.088937610921664,0.5547754748762461,22.536379391618564,1.0522788631159086,9.644448929441793,0.01058051342622315,0.17595588177652002,0.7560213185425331
25_ME2 PRIOR3_RF,0.3241378664492604,1.7509046879869063,0.5978664674411407,21.72513484696728,0.9766781242625973,8.007361301423474,-0.203719759911892,-3.030550989269739,0.755868603601106
25_ME1 PRIOR3_RF,0.18308106587348047,1.0936166080981076,0.5362536307715322,21.548520587624846,1.0148758133867826,9.201100943684077,-0.11686358597074238,-1.922456743870282,0.7521597387265098
25_ME3 PRIOR4_RF,0.2367170202061324,1.3059624807488524,0.6283909721742369,23.321511841072184,0.7797502969226461,6.52923036509034,0.06423395724657041,0.9759365802567086,0.7465801028927377
25_ME5 PRIOR4_RF,0.15371809731156874,0.9229443421589095,0.628321561130506,25.37803682235637,-0.4105178873648704,-3.7410010048722864,0.19994431746557523,3.306094634407343,0.746295244405587
25_ME4 PRIOR3_RF,0.250375850429121,1.3492927109094122,0.6107482575175527,22.141218715411274,0.34227290043298086,2.799570959879517,-0.16752652267136633,-2.4862970472538044,0.7372389613123489
25_ME3 PRIOR5_RF,0.23842061320933094,1.162199558794571,0.7049524719320492,23.116511307571866,0.7678285808102674,5.680759551808437,0.3486400200849688,4.680258567246315,0.7216522995778707
25_ME4 PRIOR4_RF,0.10912620407705176,0.5551972209759134,0.6511928417773771,22.287091777292773,0.45525283646672343,3.5154111292643004,0.10633671673251581,1.4899002231352751,0.7133298347825174
25_ME4 PRIOR5_RF,0.07911307592309594,0.3950954642785643,0.6940214701736008,23.315902377561194,0.46096559947297994,3.494037149439965,0.41201630396740335,5.666617246267079,0.7118440629431156
25_BIG HiPRIOR_RF,-0.1698595485742143,-0.8867600122733835,0.657250223544904,23.081946297681405,-0.23156336998293958,-1.8348105324993929,0.4904123090039496,7.050715657267702,0.6921532482961625
