portfolio,a,t(a),beta,t(beta),s,t(s),m,t(m),R2
6_SMALL LoPRIOR_RF,-0.04460531744867102,-0.7130321125375159,1.0719501343189415,69.61633813424257,1.0469537277579257,43.276839402973444,-0.6408344919922286,-41.7513059716206,0.9857504105007031
6_ME1 PRIOR2_RF,0.10630675102400873,1.8320261087293446,0.9275709836135785,64.94296389374587,0.8748898085503549,38.98789288127277,-0.13328679492822887,-9.361806683551666,0.9768103170278748
6_SMALL HiPRIOR_RF,0.003549830292067027,0.0496482882273033,1.0759821034333574,61.13865405959756,0.9956678870856199,36.00947436409037,0.2745039601176609,15.647574693637488,0.967696466167149
6_BIG LoPRIOR_RF,-0.007261326000089885,-0.08987450825458226,1.0735909028346529,53.985055523925745,-0.033712246749064055,-1.0789812119620152,-0.7378748048956416,-37.22245420880028,0.9672354039545907
25_ME2 PRIOR2_RF,0.2386121662000521,2.8344429331334755,0.9703711493320113,46.83032237152517,0.9286509506789273,28.5254980059752,-0.3292616457833363,-15.941089848420948,0.9620928795925552
6_ME2 PRIOR2_RF,0.12792906360832323,2.267973229715446,0.9323533848109868,67.15268658513448,-0.06634992378027749,-3.041688421682608,-0.10852926490162562,-7.841827688905339,0.9620361582211183
25_ME2 PRIOR1_RF,0.037262365178019695,0.31983271081126086,1.12906117688075,39.37169146259913,1.0945897683004204,24.294582432061947,-0.8099492544213414,-28.334268308534135,0.9603764231781623
6_BIG HiPRIOR_RF,-0.05541647374082899,-0.874925405486646,1.0695589337202387,68.60424625682946,0.017573593923240743,0.7174610360412106,0.3467867429944719,22.314972592758764,0.955728326896039
25_ME1 PRIOR2_RF,-0.008000577736934765,-0.08802380642301093,0.8731030279699984,39.026394230620916,1.0678396696166463,30.380186769524382,-0.26742818179396144,-11.991891706246628,0.9524457715665017
25_ME2 PRIOR3_RF,0.2663298053426409,3.1657636828983216,0.9106636678218692,43.97753354404294,0.9034018165673754,27.768043040235728,-0.0963305165897954,-4.666855360270868,0.9510399954542219
25_ME3 PRIOR3_RF,0.11544755818024088,1.3825670378051653,0.960521169464464,46.73287776501135,0.6405582824134588,19.836529442685855,-0.15895673416860587,-7.758577615510292,0.9493043592293542
25_ME3 PRIOR2_RF,0.12995544383635893,1.361453690267147,1.01230023730745,43.08557296432474,0.6360852115725804,17.23174616973258,-0.361983036494984,-15.456044027168064,0.9478697584104938
25_ME3 PRIOR4_RF,0.006903721581796501,0.08247475978076943,0.9573539269371484,46.4648405570507,0.7158548352989355,22.11405303846911,0.03972922278462857,1.9344147303809491,0.9442657719247651
