Date,RF,RM_RF,SMB,MOM,6_SMALL LoPRIOR_RF,6_ME1 PRIOR2_RF,6_SMALL HiPRIOR_RF,6_BIG LoPRIOR_RF,6_ME2 PRIOR2_RF,6_BIG HiPRIOR_RF,25_SMALL LoPRIOR_RF,25_ME1 PRIOR2_RF,25_ME1 PRIOR3_RF,25_ME1 PRIOR4_RF,25_SMALL HiPRIOR_RF,25_ME2 PRIOR1_RF,25_ME2 PRIOR2_RF,25_ME2 PRIOR3_RF,25_ME2 PRIOR4_RF,25_ME2 PRIOR5_RF,25_ME3 PRIOR1_RF,25_ME3 PRIOR2_RF,25_ME3 PRIOR3_RF,25_ME3 PRIOR4_RF,25_ME3 PRIOR5_RF,25_ME4 PRIOR1_RF,25_ME4 PRIOR2_RF,25_ME4 PRIOR3_RF,25_ME4 PRIOR4_RF,25_ME4 PRIOR5_RF,25_BIG LoPRIOR_RF,25_ME5 PRIOR2_RF,25_ME5 PRIOR3_RF,25_ME5 PRIOR4_RF,25_BIG HiPRIOR_RF
200409,0.326830728090032,3.0533185954226765,3.5948843903666132,4.335908298031398,2.4059543869527458,2.9707853529798243,4.183510662390905,1.8078980699828975,3.6602113850422877,4.009077569941366,0.9855706341493566,2.4557924133668996,3.0787677435438243,3.153524783165056,3.909401517113057,2.9707853529798243,2.6551445190235152,2.6883698699662846,4.681890926532445,3.718355749192134,3.5273099812712103,2.3810353737456684,2.1982959435604372,3.926014192584443,5.504218362365985,2.1318452416748985,3.253200835993363,4.316412066161982,2.987398028451209,4.557295860497059,2.3810353737456684,1.9574121492253598,3.3196515378789018,5.1470458397312155,3.3113452001432098
200410,0.314642701542555,3.2068635195477446,3.5675581096509577,2.9559904219304767,3.02116771873653,3.1119942400807625,3.6239255422028,3.235848587368352,3.194563804939156,2.6413477203879214,2.8973133714489405,3.458786412486014,3.4009877170851386,3.7560368459762294,4.895496841022055,2.7074033722746362,3.5908977162594438,3.6239255422028,2.05510380989333,3.6074116292311222,3.277133369797549,3.4009877170851386,3.0376816317082085,3.2523625003400314,3.5413559773444074,3.26887641331171,2.2532707655534736,2.913827284420619,2.476208590671135,2.0303329404358115,3.4670433689718534,2.979882936307334,3.38447380411346,3.0707094576515654,2.839514676048065
200411,0.305277709268891,5.428548410750283,7.35962877508576,5.858650979128052,6.794408002714348,6.5929413253027915,7.77756538848274,5.102087912457276,4.965090571817417,5.553373269859161,6.48011998595232,5.867661286621189,5.851543952428265,6.383415980794773,8.019325401376609,6.810525336907272,6.327005311119537,7.3101626968879305,6.383415980794773,8.317496083945711,7.19734135753746,6.705762664653262,6.58488265820633,6.447885317566471,7.906504062026137,7.213458691730384,5.948247957585811,5.061794576974965,6.125538633707981,5.819309284042415,5.085970578264352,5.110146579553738,4.320397204100438,4.771682561502323,5.875719953717651
200412,0.296469258057041,3.266139200475861,3.928539468114784,2.575174687917092,2.7968808243799534,3.60554848552465,4.539834424128718,2.6555602622381618,3.935296463855497,2.2787054298600506,2.121682583035838,3.2365447954877498,3.6762087665955456,4.257193299845134,4.115872737703342,2.357216853272157,3.786124759372495,3.9509987485379185,3.377865357629541,4.948093825871671,3.2365447954877498,2.9853082405690086,4.6104947051996135,3.5741439161598074,4.225788730480291,2.639857977555741,4.2336398728215014,4.1394261647269746,5.215032665472832,2.7576251126739004,2.8518388207684278,3.0559685216399046,4.1394261647269746,1.8311903164110441,3.0402662369574833
200501,0.284634526282889,-1.129094779840236,1.7834570329809134,-0.676946220383603,1.4002094000051897,1.2046471585610372,1.8515068802609247,-1.8265675838233175,-1.1872294867943594,-0.961580746666492,1.5807283921074835,1.1219092871808196,0.8812172977110938,1.4754256467144784,2.7766667147851822,1.3249931532959005,1.6333797648039856,1.5280770194109814,1.46790402204355,0.8060010510018046,0.760871302976231,1.355079651979616,-0.284634526282889,1.3776445259924026,1.9267231269702139,0.8736956730401649,-0.2620696522701022,0.03879533456705464,-0.4877183923979699,-0.20941827957359976,-2.8269436650568642,-0.8788428752862738,-1.5332242216570897,-1.5257025969861608,-1.713743213759384
200502,0.298022320503754,2.942720153809864,3.8406378663104697,3.626752808163865,2.74140209767406,3.4094881412831928,4.562120106630818,2.822159751297142,3.358096907159413,3.3287304876601107,3.108482341415341,3.578345053404182,4.3638967750105255,4.863125906498669,4.437312823758782,2.242172966185916,2.609253209927198,2.6459612343013266,4.657560970003551,5.318305408737858,3.6003698680286593,3.277339253536331,4.173015048265059,3.3948049315335416,4.797051462625238,3.2993640681608083,3.431512955907669,2.7781101220481883,3.571003448529356,2.888234195170572,3.1598735755391205,2.28622259543487,4.128965419016105,3.108482341415341,2.300905805184521
200503,0.294369007582373,-2.191969190961223,-1.8771252733971087,-2.639048714998082,-3.3093287314028563,-1.9054161882498069,-1.2993555821892009,-1.3914154210844827,-2.37338703596749,-2.933417722580455,-4.214583813873128,-1.9898043739038151,-1.345385501636842,-0.294369007582373,-1.0231760655033548,-3.370701957333044,-2.4424319151389513,-1.8824012285259861,-2.8183429239613527,-1.3760721146019357,-3.1098657471297453,-1.9437744544561741,-1.7289681637005165,-3.2326121989901213,-1.6062217118401405,-2.6112082864469683,-2.3503720762436697,-2.8336862304438997,-1.9514461076974479,-3.6545531272601632,-0.869743000677885,-1.598550058598867,-2.588193326723148,-2.6265515929295153,-2.9717759887868227
200504,0.278815864392378,-2.09062089848899,-1.793978234780826,-2.278041789243418,-2.888757781869937,-1.8930573971675155,-1.4253799437466812,-2.3984507742513204,-1.712020963585257,-2.556857653635796,-2.556857653635796,-1.244343510164423,-0.9426161208606589,-1.6743050399222865,-1.2971458032925816,-3.6506194398619405,-1.870427842969733,-1.636589116259316,-1.7799096261786038,-1.5309845300029985,-3.9221740902353286,-2.662462239892114,-2.541771284170608,-2.224957525401656,0.5283049019951909,-3.726051287187882,-2.918930520800313,-2.1193529391453385,-2.307932557460191,-2.541771284170608,-2.2702166337972205,-1.1538252933732935,-2.4738826215772614,-2.2551302643320326,-2.2777598185298147
200505,0.264657217041808,-0.08301870609323497,-0.8920000085988606,0.9950632520826905,-1.938523307754551,-1.306002480849275,-0.16437952497145936,0.005321184686053748,-0.15666585635066327,0.7304060350408825,-3.542966380880129,-2.979868571562018,-2.0156599939625117,-1.946236976375347,-1.645403900164301,-1.1285881025709656,-0.7660456773935513,-2.2316427153448006,-1.1517291084333539,0.29072692365550756,-0.735191002910367,-0.9126053811886762,-0.565490293252854,0.24444491193073137,0.9001067446983957,0.39871828434665235,0.4604276333130207,0.4758549705546128,0.9695297622855601,-0.017819821176334377,0.337008935380284,-0.3109392287665843,-0.3495075718705646,0.1055988767564024,1.270362838496606
200506,0.255033516248959,1.0624809095104537,1.7474315156258329,2.840163618121479,0.30065066990524336,1.2808158315939058,2.8166651794367707,0.03824424866575893,1.2190731442434388,2.5851301018725197,0.015090740909333822,0.08455126417860909,1.4274547140512648,1.898242705098575,2.67774413289822,-0.424825906462743,1.2808158315939058,0.8872061997346792,2.129777782662826,3.3569136937533557,0.47816089603783574,1.242226651999864,0.6556711221704281,2.276416665120185,2.7857938357615373,0.4935965678754525,0.35467552133690194,1.1650482928117805,0.9026418715722959,2.260980993282568,0.32380417766166847,0.0459620845845673,2.2455453214449514,0.4164182086873688,3.9125978799075583
