portfolio,a,t(a),beta,t(beta),s,t(s),m,t(m),R2
BIG_HiPRIOR_RF,-0.12632229966040728,-12.385436106359618,0.014940940889398763,1.753246213004635,0.0006062039163150512,0.15687196249837088,0.984919469934626,166.0360809591094,0.9988378713745953
ME1_PRIOR2_RF,0.036648658511273524,0.673099831692103,0.16142002853430307,3.5482360283482937,0.8864348547451923,42.96982013978572,-0.13807368737184367,-4.360163691845322,0.9796173394887026
ME2_PRIOR2_RF,0.16969082012550335,3.44196985629677,1.38333687800937,33.58229333350857,-0.059763859145141346,-3.1995040146013887,-0.36777540170799605,-12.826313885421674,0.9708108167758506
25_ME2 PRIOR2_RF,0.15355150570375925,1.7072228985788747,0.44966953003871646,5.983610149904362,0.9843156071893643,28.884564971307483,-0.43898462751419154,-8.391815583434653,0.9570707429768509
25_ME3 PRIOR3_RF,0.06381046624662592,0.7970491009769641,0.4958471262416726,7.412669563390854,0.6730624182591196,22.18931073038262,-0.211599770829637,-4.544423768520159,0.9534005997408292
25_ME2 PRIOR3_RF,0.18949109263338274,2.307516699951829,0.02482904323960272,0.3618676162539231,0.9137575152179228,29.368537948389285,-0.05868102763463806,-1.2286388246148157,0.9533850207006422
25_ME1 PRIOR2_RF,-0.0896558858381143,-0.9925439893862125,0.020222700715507747,0.26794385065194437,1.1176636012134775,32.6570820456776,-0.266366518561443,-5.0701529824571185,0.9530584578835881
SMALL_HiPRIOR_RF,-0.10629952236186993,-1.2206574938968535,-0.7118599346897371,-9.783420966612118,0.9499478648128195,28.79105581834998,0.7279685288313716,14.372939066659953,0.9522140513424749
25_BIG HiPRIOR_RF,-0.13411651274041483,-1.9137445696712623,-0.12240855084657326,-2.090485489478571,-0.06330732862793145,-2.3842457595065056,1.2054645946926617,29.575129132957805,0.9506441294076788
SMALL LoPRIOR_RF,-0.18965622698679788,-1.573735703639293,0.6920237328076486,6.87257300834442,1.2118610756355233,26.54072852252483,-0.7485610039933791,-10.679781356734336,0.947714083226804
25_ME3 PRIOR2_RF,0.06511705915838416,0.6517277719629766,0.9174853189124115,10.990166069489472,0.7130569478580709,18.83609955812667,-0.5754937672229058,-9.903359511775228,0.9432623091898722
25_ME3 PRIOR4_RF,-0.06332763991899154,-0.7440736551344015,0.028491933800479763,0.40066207283590716,0.7098240506987741,22.012463416858512,0.17222540484056945,3.4792874497704327,0.9426432021838207
25_ME4 PRIOR3_RF,0.17036708490313113,2.0747254248348823,0.8741863618446306,12.741267844032837,0.3504763854617985,11.264943293483666,-0.2490938904781575,-5.215650524135141,0.9408067310443531
25_ME2 PRIOR4_RF,0.1350196584771298,1.4582300959707382,-0.25192814793691387,-3.256412611756555,0.9274438093394599,26.43698780930697,0.20600581431526319,3.8254189200686506,0.9404295810045471
25_ME5 PRIOR3_RF,0.21403562649508062,2.965403980222453,1.4946732065321466,24.784361177462365,-0.0882900356100341,-3.228529818573873,-0.4514200206595135,-10.753481332239945,0.9395731642405547
25_ME1 PRIOR3_RF,0.013534215660401562,0.1447921587568265,-0.10822655595455308,-1.3857327180112744,0.9551589654539562,26.970122510469896,-0.03355194691235641,-0.6171633787885203,0.9367005386107637
25_ME4 PRIOR2_RF,0.08586693449011638,0.8090656989859352,1.3366315370576733,15.073122078570359,0.4346941685802014,10.810280348600168,-0.6746292472911715,-10.929328189836493,0.9301470973909833
25_ME4 PRIOR4_RF,0.05688599776951657,0.6498572623471733,0.4221340718771117,5.771606125663349,0.29169166785034417,8.794920790445698,0.22627539190966547,4.44447424418858,0.921879304316952
25_ME2 PRIOR5_RF,-0.16791119381573427,-1.3208103852739208,-0.8933142299107363,-8.41005352260234,1.0087779593452393,20.94361869806193,0.9027330728236952,12.209296782465987,0.9126660524651987
25_ME3 PRIOR5_RF,-0.16812625509068396,-1.4154744889439446,-0.7131567707135683,-7.185966674466403,0.7650862856274527,17.000912659732187,0.9823194600973917,14.219676819998233,0.9124045497854969
25_ME5 PRIOR4_RF,0.03483653230884522,0.41422173883496016,0.755190321061499,10.747020234048845,-0.11967178837955712,-3.7556495698940693,0.3072607192263693,6.281675293453387,0.9086524151316211
