portfolio,a,t(a),beta,t(beta),s,t(s),m,t(m),R2
6_SMALL LoPRIOR_RF,-0.00037199798350376345,-0.0041515044194268625,0.6598397076123383,55.54535276967533,0.8941650359266652,18.68875007304018,-0.6347231492126346,-23.96484136702785,0.9626596140365276
6_BIG LoPRIOR_RF,0.4047072052503554,4.131703432877472,0.66291180602825,51.049127258115576,-0.16649960794143692,-3.1834576237212255,-0.7780496769829861,-26.87328964427615,0.9565777990026064
25_ME2 PRIOR1_RF,0.15903734328193203,1.414166810188512,0.6721294411124208,45.17850910398082,0.9253822547529086,15.4450966923227,-0.8349162492305697,-25.169341941421912,0.951170199082413
25_ME3 PRIOR1_RF,0.1452297029967308,1.2452323275890134,0.7065929935485616,45.79749377246615,0.6579263309651305,10.588638988963478,-0.7745504108564317,-22.515004898070153,0.947411012341028
6_SMALL HiPRIOR_RF,0.43449207394079675,4.856934420179663,0.669730126395505,56.470883178005515,0.8492719106488968,17.77971498370575,0.2361150364575884,8.929544953128222,0.9420129964610466
25_SMALL LoPRIOR_RF,-0.4910498482352044,-4.274661331303831,0.648092738724634,42.64722081817908,1.1724561082725924,19.157580591258423,-0.5932583886619173,-17.50843945424575,0.9403683580995376
6_ME1 PRIOR2_RF,0.23459315861865956,2.648518922759281,0.6053602166125811,51.552054445282764,0.7902837708954915,16.709692363308253,-0.08866347558948158,-3.3865523292817663,0.9403167539333751
6_ME2 PRIOR2_RF,0.2941628959995454,3.454992302448214,0.6189968573470909,54.839312226152764,-0.17817319192384107,-3.9192160541422396,-0.06033404870833323,-2.397435671989742,0.9393987697773762
25_ME3 PRIOR2_RF,0.38298469415767,3.6155689862808646,0.6485408300729123,46.28177486942815,0.5686902323476181,10.077178229688329,-0.3149304867399032,-10.079462150318644,0.932741420833982
25_ME4 PRIOR2_RF,0.42757797741843306,3.9494863340757185,0.6702089998410772,46.79645878576674,0.24289357770494724,4.211232845870322,-0.3153198803321511,-9.87424865104049,0.931211748982266
25_BIG LoPRIOR_RF,0.3929105432250912,2.8744837719696035,0.6810154537215444,37.66175843254141,-0.3139845817710462,-4.311639453331483,-0.9137821924567003,-22.663985741745687,0.9289589965769688
25_ME5 PRIOR2_RF,0.5011330145043941,4.576503727295938,0.626657192315251,43.26017599042119,-0.1800733038291426,-3.086725959865129,-0.4678415671488001,-14.484617484114457,0.9280861349377959
25_ME2 PRIOR4_RF,0.334474541869535,3.3808742307049493,0.6352081890652779,48.535497302766814,0.8208070507030549,15.573096051284194,0.11221318100970568,3.8453620946214215,0.926652923210008
25_ME4 PRIOR1_RF,0.4121469924695358,3.0168277720829697,0.683444770924149,37.816319211724064,0.1788856721792873,2.4577736046745904,-0.8186468960272129,-20.315261701283386,0.9254711762658341
25_ME3 PRIOR3_RF,0.25364312904189523,2.363010981398689,0.6413590524172104,45.1670071631538,0.5972842388215178,10.44459558245418,-0.13947799252736653,-4.405302597503613,0.9224636415896085
25_ME5 PRIOR3_RF,0.27577717933072055,2.837778922271907,0.5997415309115196,46.65109103380949,-0.25595458392016174,-4.943688308232542,-0.10497728090264244,-3.662207707840194,0.9207844983259631
25_ME5 PRIOR4_RF,0.15100147569956668,1.6050628209088744,0.6295492275140382,50.58456115674776,-0.32853654790073145,-6.554845643106874,0.21002198140578537,7.568381479659954,0.9203491488023713
25_ME2 PRIOR2_RF,0.21562946283539872,1.898293876598757,0.6217621707417484,41.37681797344433,0.7693057892348156,12.712245829402612,-0.28325287068877397,-8.453899589819002,0.9192415879897614
6_BIG HiPRIOR_RF,-0.030156866673946285,-0.31385532376588277,0.6530213872450832,51.264302483568194,-0.12160648266366778,-2.3702691520470793,0.3511121373467909,12.3627312441224,0.918671214769888
25_ME2 PRIOR5_RF,0.4391699947594056,3.8765443054499493,0.6996850037473706,46.686584749862014,0.9419248656734851,15.606168429564717,0.2824721550925907,8.453083410596195,0.9178553615674908
25_ME2 PRIOR3_RF,0.3078077769592259,2.790682123898857,0.6206670795565239,42.5370081808078,0.788175764538777,13.412872460539905,-0.10170098266503988,-3.1259595269870126,0.9151596442797009
25_SMALL HiPRIOR_RF,0.6082828583435148,5.716793168960403,0.6292385974616814,44.70331236364728,0.9353955694629226,16.500995529039624,0.18271862088359098,5.8217979645344675,0.9148888672217745
25_ME1 PRIOR3_RF,0.17465461137187052,1.7439944606640179,0.5546947386686614,41.86938086152224,0.8304400933340343,15.564719171180826,-0.044267088848503174,-1.4985575502439321,0.9130100125566754
25_ME1 PRIOR2_RF,0.028863266047002373,0.27012142798505784,0.5521256257239968,39.0597012029372,0.8653975702963208,15.201875526542022,-0.21240296168852962,-6.739094587175516,0.911536833663995
25_ME3 PRIOR4_RF,0.2437714002251644,2.238495307909443,0.6387422255994202,44.338042107227544,0.6474682567027399,11.159888458217962,0.10740290821017685,3.3436198671141546,0.9103530535787467
25_ME1 PRIOR4_RF,0.3457232961302156,3.3864805297244294,0.5662207436337552,41.92597410148409,0.8657204994544827,15.917159772643988,0.05853087644910421,1.9437140988601171,0.909056690390239
25_ME4 PRIOR3_RF,0.24018961993853305,2.0414003687163897,0.6229807485650207,40.024510388522216,0.2687931667094226,4.288052698057098,-0.0816852408229784,-2.353666722662843,0.8961641633620979
25_ME3 PRIOR5_RF,0.22387715055599738,1.7471985836325838,0.7151576618563473,42.1902153284652,0.6298776210912076,9.226916981043555,0.34726416105940205,9.187976643624998,0.8934487338457998
25_ME4 PRIOR4_RF,0.10348879646407472,0.8393593763674018,0.6651405750922146,40.77983829828043,0.3788953425157216,5.768219959890689,0.14208511798594223,3.906884943762867,0.8896692769413393
25_ME4 PRIOR5_RF,0.06998503457979982,0.5562837531658698,0.702081441297353,42.18481370517956,0.37991781178839723,5.668247249886336,0.3968470151639377,10.694038226257181,0.8884062438730377
25_BIG HiPRIOR_RF,-0.18807083682628067,-1.4693452471405435,0.6611047637859604,39.04362473870197,-0.2014164316748623,-2.9536921543934485,0.4574184378188264,12.115559682095688,0.8656393326305233
